2025-08-11 07:52:23 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:27 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:31 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:34 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:38 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:42 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:46 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:50 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:54 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:52:58 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:02 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:06 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:10 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:14 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:21 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:25 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:29 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:33 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:36 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:40 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:45 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:49 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:52 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:56 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:53:59 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:03 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:07 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:11 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:15 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:19 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:22 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:26 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:30 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:34 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:37 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:41 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:45 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:54:49 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:55:01 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:55:05 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:55:12 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
2025-08-11 07:55:16 | trading_bot | ERROR | ❌ Error checking pending orders: 'EnhancedOrderManager' object has no attribute 'check_stop_orders'
